year,esu,max_SST,mean_SST,mean_SAR,juvenile_returns
1994,0,22.68,-0.08,0.44,
1995,0,22,0.25,1.03,
1996,0,22.43,0.02,,
1997,0,23.58,0.8,,
1998,0,22.68,0.28,,
1999,0,21.93,-1.04,,
2000,0,22.08,-0.38,,
2001,0,20.78,-0.62,,524
2002,0,20.61,-0.72,1.34,1041
2003,0,23.44,0.11,0.69,4063
2004,0,23.37,0.09,0.71,1697
2005,0,22.81,0.03,,212
2006,1,24.36,-0.16,,626
2007,1,23.14,-0.61,1,1301
2008,1,22.29,-0.9,2.65,1245
2009,1,22.93,-0.51,2.47,1579
2010,1,20.83,-0.58,2.75,4880
2011,1,21.07,-0.62,,619
2012,1,23.05,-0.57,2.02,2422
2013,1,22.5,-0.29,2.17,2350
2014,1,23.73,1.1,1.04,1723
2015,1,24.98,1.6,1.23,3488
2016,1,24.56,0.7,0.9,3758
2017,1,23.71,0.38,1.44,2993
2018,1,25.63,0.42,0.72,2087
2019,1,24.59,0.4,0.88,3392
2020,1,24.5,0.25,1.98,2826
2021,1,22.56,-0.42,1.57,3502
2022,1,24.3,-0.09,1.17,1962
2023,1,22.84,0.05,0.45,3088
2024,1,23.48,0.23,,2341
