year,esu,max_SST,Mean_SST,mean_SAR,juvenile_return
1994,0,22.68,-0.08,0.44,2865.4
1995,0,22.0,0.25,1.03,2427.2
1996,0,22.43,0.02,1.3642857142857143,2238.2916666666665
1997,0,23.58,0.8,1.3642857142857143,2238.2916666666665
1998,0,22.68,0.28,1.3642857142857143,2238.2916666666665
1999,0,21.93,-1.04,1.3642857142857143,2238.2916666666665
2000,0,22.08,-0.38,1.3642857142857143,2238.2916666666665
2001,0,20.78,-0.62,1.6340000000000003,524.0
2002,0,20.61,-0.72,1.34,1041.0
2003,0,23.44,0.11,0.69,4063.0
2004,0,23.37,0.09,0.71,1697.0
2005,0,22.81,0.03,1.6340000000000003,212.0
2006,1,24.36,-0.16,1.6340000000000003,626.0
2007,1,23.14,-0.61,1.0,1301.0
2008,1,22.29,-0.9,2.65,1245.0
2009,1,22.93,-0.51,2.47,1579.0
2010,1,20.83,-0.58,2.75,4880.0
2011,1,21.07,-0.62,1.6340000000000003,619.0
2012,1,23.05,-0.57,2.02,2422.0
2013,1,22.5,-0.29,2.17,2350.0
2014,1,23.73,1.1,1.04,1723.0
2015,1,24.98,1.6,1.23,3488.0
2016,1,24.56,0.7,0.9,3758.0
2017,1,23.71,0.38,1.44,2993.0
2018,1,25.63,0.42,0.72,2087.0
2019,1,24.59,0.4,0.88,3392.0
2020,1,24.5,0.25,1.98,2826.0
2021,1,22.56,-0.42,1.57,3502.0
2022,1,24.3,-0.09,1.17,1962.0
2023,1,22.84,0.05,0.45,3088.0
2024,1,23.48,0.23,1.612,2341.0
